Model,AMOC_weakening,gamma^*,gamma_sat,gamma_dis,gamma_reg,Preindustrial_AMOC
ACCESS-ESM1.5,-9.73,-3.34,-0.17,-4.49,1.32,22.24
CanESM5,-6.86,-2.65,-0.32,-2.79,0.47,13.16
CanESM5-CanOE,-5.81,-2.16,-0.66,-2.56,1.06,12.23
CNRM-ESM2-1,-10.53,-0.04,-2.57,-4.94,7.46,16.41
GFDL-ESM4,-12.77,-6.35,-1.11,-7.7,2.47,21.74
IPSL-CM6A-LR,-5.63,-3.07,-2.0,-4.18,3.11,11.32
MIROC-ES2L,-11.54,-7.4,-1.89,-9.04,3.53,14.58
MPI-ESM1.2-LR,-10.27,-5.99,-2.17,-5.73,1.91,22.36
MRI-ESM2,-18.74,-12.19,-1.84,-14.25,3.9,22.5
NorESM2-LM,-15.26,-6.13,-1.93,-7.06,2.86,23.18
UKESM1-0-LL,-9.66,-3.28,-0.8,-3.56,1.08,15.61
