RowNames,ACCESS-ESM1-5,CESM2,CanESM5,GISS-E2-1-G,MIROC-ES2L,MPI-ESM1.2-LR,MPI-ESM1.2-LR_ssp126,MPI-ESM1.2-LR_ssp585,NorESM2-LM,NorESM2-LM_ssp126,NorESM2-LM_ssp585
mean_cum_C_AMOC_2100,7.273308642872947,11.797730345080817,3.866848115345442,9.862189983561056,11.380867563564193,5.880874118782888,4.970962523810552,6.657551045720989,12.383168460450928,13.46453689964831,13.896115517365141
std_cum_C_AMOC_2100,2.761596759756953,4.5701183061349715,4.000131009299656,4.108886935640038,4.620556458952543,2.7742119610305083,1.8681958139043708,1.264032350125395,4.8994966248171865,9.532988987185478,4.8714623730018305
mean_dT_AT_2100,0.010848936610057217,0.0175458714831089,0.005886128786869333,0.014524697045386836,0.01689590424058991,0.008669191305626243,0.008415607191058572,0.007125935048068105,0.018607224604377536,0.02363011445288921,0.015437065464988393
std_dT_AT_2100,0.005956426483119509,0.010298470530785168,0.006840402886065727,0.008564161885620439,0.009796045333549365,0.005301460003241237,0.005022860823178783,0.0028160417618578464,0.011210749182890412,0.02133722476408513,0.008768514779813384
mean_add_damages,4.568482706455287e12,8.052508861275056e12,3.0813464181608584e12,6.68825935408517e12,7.537580228610061e12,3.8556604321691226e12,2.0711339549480984e12,2.2796209085625576e12,8.3530536938412e12,5.931426939161681e12,4.689099934969927e12
std_add_damages,2.806046330620615e12,5.422714312093411e12,3.404231937386248e12,4.437862951554693e12,4.914347158006504e12,2.5434046512188486e12,1.4389132428897898e12,9.849449856882567e11,5.74534729552761e12,6.393421642220279e12,2.796573050796533e12
mean_welfare_loss,6.170540700369841e12,1.0849747887113314e13,4.1368757760636416e12,9.00884242141887e12,1.0165647000936516e13,5.200282975535556e12,2.6396365559410273e12,3.6610499007463936e12,1.1267045566387412e13,7.548128170234785e12,7.626762831300867e12
std_welfare_loss,4.0538286206646445e12,7.934541809885644e12,4.882771837664041e12,6.468132743608214e12,7.152354654866283e12,3.653298221174761e12,1.9077493059777656e12,1.9983911505345288e12,8.416466154332045e12,8.483114730863459e12,5.492244179821465e12
mean_Delta_SCC,0.6288350136219173,1.3631732163728858,0.9583410670742781,0.9613536604673926,1.1073760415894118,0.5035238247043894,0.7477492030431445,0.21845492827322224,1.630410661725053,3.76431291194195,0.951772293356117
std_Delta_SCC,0.15431502200745986,0.329144798840379,0.2175060769403193,0.23993725443646519,0.2706403006993915,0.1238437592956916,0.18712444122945845,0.06026120901441994,0.38249376168998284,0.9428585527737834,0.19812005060997692
